artwork_id,title,artist,room_or_location,visual_overview,audio_description,background,colors,composition,figures_gestures,foreground,language,materials_textures,middle_ground,model,mood_atmosphere,objects_symbols,reviewed,source,spatial_order,subject_matter,uncertainties,created_at,updated_at
84278bc3-dd0e-46d8-9dea-f431f202f26b,Retrat de cavaller de l'orde de sant Jaume,Anton van Dasshort Mor,P2-S4,"Anthonis Mor, or Antonio Moro (Utrecht, around 1517 - Antwerp, 1577), was a painter and portraitist of great prestige in Europe. We know that he painted portraits of various members of the Habsburg court, including Charles V in 1552, Mary Tudor in 1554 and Philip II in 1560. The identity of the man depicted in this magnificent painting is unknown, but the collar he wears tells us that he belonged to the Order of St. James. It shows a mature man, with a bearing and a gaze that suggest great confidence, emphasised by the position of his hands, his belt and the hilt of his sword.","An artwork titled Retrat de cavaller de l'orde de sant Jaume by Anton van Dasshort Mor. Anthonis Mor, or Antonio Moro (Utrecht, around 1517 - Antwerp, 1577), was a painter and portraitist of great prestige in Europe. We know that he painted portraits of various members of the Habsburg court, including Charles V in 1552, Mary Tudor in 1554 and Philip II in 1560. The identity of the man depicted in this magnificent painting is unknown, but the collar he wears tells us that he belonged to the Order of St. James. It shows a mature man, with a bearing and a gaze that suggest great confidence, emphasised by the position of his hands, his belt and the hilt of his sword.",Neutral background typical of the period.,Natural tones.,"Balanced, centering the subject.",Clear and defined.,Focus on the subject matter.,en,"Pintura, oli sobre fusta",Subtle details surrounding the main figure.,GPT-5.5 Thinking,Documentary.,Objects typical of Renaissance iconography.,False,vision_llm,centered,Historical and cultural representation.,Specific details may vary based on historical interpretation.,2026-05-24T12:00:00Z,2026-05-24T12:00:00Z
9b46189a-dea7-4446-a7eb-2c7f6fc2b583,Bust reliquiari d'una santa,Anònim,P2-S4,"The identity of the saint is unknown, as is the geographical provenance of the piece and its original location. However, this was a very common way of storing and displaying relics of saints which could be viewed through a small window. The bust, which is almost life-size, is made of gilded polychromed wood. Of particular note are the red-painted doorway to access the interior from the back, the hairstyle and the subtle smile on her face.","An artwork titled Bust reliquiari d'una santa by Anònim. The identity of the saint is unknown, as is the geographical provenance of the piece and its original location. However, this was a very common way of storing and displaying relics of saints which could be viewed through a small window. The bust, which is almost life-size, is made of gilded polychromed wood. Of particular note are the red-painted doorway to access the interior from the back, the hairstyle and the subtle smile on her face.",Neutral background typical of the period.,Natural tones.,"Balanced, centering the subject.",Clear and defined.,Focus on the subject matter.,en,"Escultura, talla en fusta daurada i policromada",Subtle details surrounding the main figure.,GPT-5.5 Thinking,Documentary.,Objects typical of Renaissance iconography.,False,vision_llm,centered,Historical and cultural representation.,Specific details may vary based on historical interpretation.,2026-05-24T12:00:00Z,2026-05-24T12:00:00Z
3d29d70e-32ef-4ddd-8972-f620635ef3ba,Davallament,"Anònim, actiu a València",P1-S3,"This painting is extremely interesting from a stylistic point of view. The figures are distributed within the pictorial space in a very well thought-out manner, taking advantage of the axis of symmetry generated by the cross and the two ladders, at the precise moment when Jesus' body is lowered. The meticulous rendering of detail and the opening onto a background showing a landscape that fades away into the horizon, as well as the clothing, the faces of the figures and the drama with which some of them are portrayed, are a good example of the great pictorial quality of this painting.","An artwork titled Davallament by Anònim, actiu a València. This painting is extremely interesting from a stylistic point of view. The figures are distributed within the pictorial space in a very well thought-out manner, taking advantage of the axis of symmetry generated by the cross and the two ladders, at the precise moment when Jesus' body is lowered. The meticulous rendering of detail and the opening onto a background showing a landscape that fades away into the horizon, as well as the clothing, the faces of the figures and the drama with which some of them are portrayed, are a good example of the great pictorial quality of this painting.",Neutral background typical of the period.,Natural tones.,"Balanced, centering the subject.",Clear and defined.,Focus on the subject matter.,en,"Pintura, oli sobre fusta",Subtle details surrounding the main figure.,GPT-5.5 Thinking,Documentary.,Objects typical of Renaissance iconography.,False,vision_llm,centered,Historical and cultural representation.,Specific details may vary based on historical interpretation.,2026-05-24T12:00:00Z,2026-05-24T12:00:00Z
f669cf2a-2669-4904-9a78-f0dcabb9c973,Mare de Déu de la Llet,"Anònim, seguidor de Hans Memling",P1-S3,"This type of depiction of the Virgin Mary breastfeeding her child was very popular in the late Gothic period and also during the Renaissance. However, following the Council of Trent in 1563, this representation of the Virgin was greatly restricted for reasons of modesty, so as not to show her exposed breast.","An artwork titled Mare de Déu de la Llet by Anònim, seguidor de Hans Memling. This type of depiction of the Virgin Mary breastfeeding her child was very popular in the late Gothic period and also during the Renaissance. However, following the Council of Trent in 1563, this representation of the Virgin was greatly restricted for reasons of modesty, so as not to show her exposed breast.",Neutral background typical of the period.,Natural tones.,"Balanced, centering the subject.",Clear and defined.,Focus on the subject matter.,en,"Pintura, oli sobre fusta",Subtle details surrounding the main figure.,GPT-5.5 Thinking,Documentary.,Objects typical of Renaissance iconography.,False,vision_llm,centered,Historical and cultural representation.,Specific details may vary based on historical interpretation.,2026-05-24T12:00:00Z,2026-05-24T12:00:00Z
505af2f3-c1f9-4b02-a5ea-55a7e869cb55,Tríptic amb el Plany del Crist Mort,Anònim. Aragó,P1-S3,"This small triptych was likely intended for private use. When the doors are closed, a scene painted in grisaille can be seen on the outside: the Expulsion from Paradise. It is noteworthy that this composition literally copies a print of the same subject by Albrecht Dürer, one of the great artists of the Renaissance. In this regard, it is important to highlight the role that prints played in the circulation and dissemination of Renaissance models throughout Europe in general and in Catalonia in particular.","An artwork titled Tríptic amb el Plany del Crist Mort by Anònim. Aragó. This small triptych was likely intended for private use. When the doors are closed, a scene painted in grisaille can be seen on the outside: the Expulsion from Paradise. It is noteworthy that this composition literally copies a print of the same subject by Albrecht Dürer, one of the great artists of the Renaissance. In this regard, it is important to highlight the role that prints played in the circulation and dissemination of Renaissance models throughout Europe in general and in Catalonia in particular.",Neutral background typical of the period.,Natural tones.,"Balanced, centering the subject.",Clear and defined.,Focus on the subject matter.,en,Pintura sobre fusta,Subtle details surrounding the main figure.,GPT-5.5 Thinking,Documentary.,Objects typical of Renaissance iconography.,False,vision_llm,centered,Historical and cultural representation.,Specific details may vary based on historical interpretation.,2026-05-24T12:00:00Z,2026-05-24T12:00:00Z
fcaed357-7705-4d57-a9ce-5640a597f55f,Flagel·lació de Crist,"Anònim, Catalunya",P1-S3,"The unusual horizontal format of this panel painting is explained by the fact that it originally served to decorate the front of an altar. The scene of the Flagellation of Christ takes place inside a space that is simple yet classical in style, dominated by the metallic tones of some garments and by the treatment of the figures and anatomies, which vary in quality. It comes from the Barcelona church of Santa Maria del Pi, specifically from the Chapel of Saint Michael, which belonged to the city’s former Guild of Shopkeepers. Its motto, along with the date, appears on the sides of the piece.","An artwork titled Flagel·lació de Crist by Anònim, Catalunya. The unusual horizontal format of this panel painting is explained by the fact that it originally served to decorate the front of an altar. The scene of the Flagellation of Christ takes place inside a space that is simple yet classical in style, dominated by the metallic tones of some garments and by the treatment of the figures and anatomies, which vary in quality. It comes from the Barcelona church of Santa Maria del Pi, specifically from the Chapel of Saint Michael, which belonged to the city’s former Guild of Shopkeepers. Its motto, along with the date, appears on the sides of the piece.",Neutral background typical of the period.,Natural tones.,"Balanced, centering the subject.",Clear and defined.,Focus on the subject matter.,en,"Pintura, oli sobre fusta",Subtle details surrounding the main figure.,GPT-5.5 Thinking,Documentary.,Objects typical of Renaissance iconography.,False,vision_llm,centered,Historical and cultural representation.,Specific details may vary based on historical interpretation.,2026-05-24T12:00:00Z,2026-05-24T12:00:00Z
6f56f291-6414-42a5-93b2-09937f239461,Gàrgola: dimoni o faune,Tomàs Barça,P2-S4,"The general studies were institutions dedicated to higher education, similar to modern universities. Those in Barcelona, which originated in the 15th century, had a new building from 1536, located in the upper part of La Rambla. Charles V attended the beginning of its construction and greatly supported its development. The building disappeared in the 19th century, but it left its mark on the city’s street names (Rambla dels Estudis) and in this magnificent work by Tomàs Barça. Water was channeled along the demon’s back, between the wings, and flowed out through its wide-open mouth.","An artwork titled Gàrgola: dimoni o faune by Tomàs Barça. The general studies were institutions dedicated to higher education, similar to modern universities. Those in Barcelona, which originated in the 15th century, had a new building from 1536, located in the upper part of La Rambla. Charles V attended the beginning of its construction and greatly supported its development. The building disappeared in the 19th century, but it left its mark on the city’s street names (Rambla dels Estudis) and in this magnificent work by Tomàs Barça. Water was channeled along the demon’s back, between the wings, and flowed out through its wide-open mouth.",Neutral background typical of the period.,Natural tones.,"Balanced, centering the subject.",Clear and defined.,Focus on the subject matter.,en,"Escultura, talla en gres",Subtle details surrounding the main figure.,GPT-5.5 Thinking,Documentary.,Objects typical of Renaissance iconography.,False,vision_llm,centered,Historical and cultural representation.,Specific details may vary based on historical interpretation.,2026-05-24T12:00:00Z,2026-05-24T12:00:00Z
0fa28a80-5f16-43c0-aaef-81b29569eae7,Crist amb la Creu,Cercle de Luis de Morales (El Divino),P1-S3,"Luis de Morales was a Spanish painter born in Badajoz. In his work, with its elongated figures and delicate modulations of colour and shadow, he used the sfumato technique pioneered by Leonardo da Vinci that was very popular. Due to this great success and the religious subject matter of his works, he became known during his lifetime as ‘El Divino Morales’.","An artwork titled Crist amb la Creu by Cercle de Luis de Morales (El Divino). Luis de Morales was a Spanish painter born in Badajoz. In his work, with its elongated figures and delicate modulations of colour and shadow, he used the sfumato technique pioneered by Leonardo da Vinci that was very popular. Due to this great success and the religious subject matter of his works, he became known during his lifetime as ‘El Divino Morales’.",Neutral background typical of the period.,Natural tones.,"Balanced, centering the subject.",Clear and defined.,Focus on the subject matter.,en,"Pintura, oli sobre fusta",Subtle details surrounding the main figure.,GPT-5.5 Thinking,Documentary.,Objects typical of Renaissance iconography.,False,vision_llm,centered,Historical and cultural representation.,Specific details may vary based on historical interpretation.,2026-05-24T12:00:00Z,2026-05-24T12:00:00Z
fb4be755-1cb8-4b92-ab6f-6f46311affa0,Epifania,Mestre de Pau i Bernabeu,P1-S3,"Strictly speaking, from an etymological point of view, an epiphany is a manifestation; the visualisation of a presence, of a truth of a higher order. According to the New Testament, the birth of Jesus and the subsequent arrival of three kings or wise men from the East to visit him signified the recognition of the birth of the messiah. The composition of the scene is rich and complex, with an abundance of classicist architectural elements, many of which are in ruins. The image of God in flight, very similar to the same figure painted in a very similar position by Michelangelo on the ceiling of the Sistine Chapel in Rome, is significant.","An artwork titled Epifania by Mestre de Pau i Bernabeu. Strictly speaking, from an etymological point of view, an epiphany is a manifestation; the visualisation of a presence, of a truth of a higher order. According to the New Testament, the birth of Jesus and the subsequent arrival of three kings or wise men from the East to visit him signified the recognition of the birth of the messiah. The composition of the scene is rich and complex, with an abundance of classicist architectural elements, many of which are in ruins. The image of God in flight, very similar to the same figure painted in a very similar position by Michelangelo on the ceiling of the Sistine Chapel in Rome, is significant.",Neutral background typical of the period.,Natural tones.,"Balanced, centering the subject.",Clear and defined.,Focus on the subject matter.,en,"Pintura, oli sobre fusta",Subtle details surrounding the main figure.,GPT-5.5 Thinking,Documentary.,Objects typical of Renaissance iconography.,False,vision_llm,centered,Historical and cultural representation.,Specific details may vary based on historical interpretation.,2026-05-24T12:00:00Z,2026-05-24T12:00:00Z
c6d718d7-b79f-4e4e-b2c9-6aaae10e2d4a,Santa Maria Magdalena,Mestre del Papagai,P2-S4,"Under the name of the Master of the Parrot, art historians have identified the hand of a Flemish painter, active in Antwerp in the early 16th century, who often included this exotic bird in some of the works attributed to him. In this painting, we can appreciate his skill in depicting objects and textures in great detail, within an intimate and close setting. It is a highly successful formula for representing Mary Magdalene as a young woman of great beauty.","An artwork titled Santa Maria Magdalena by Mestre del Papagai. Under the name of the Master of the Parrot, art historians have identified the hand of a Flemish painter, active in Antwerp in the early 16th century, who often included this exotic bird in some of the works attributed to him. In this painting, we can appreciate his skill in depicting objects and textures in great detail, within an intimate and close setting. It is a highly successful formula for representing Mary Magdalene as a young woman of great beauty.",Neutral background typical of the period.,Natural tones.,"Balanced, centering the subject.",Clear and defined.,Focus on the subject matter.,en,"Pintura, tremp i oli sobre fusta",Subtle details surrounding the main figure.,GPT-5.5 Thinking,Documentary.,Objects typical of Renaissance iconography.,False,vision_llm,centered,Historical and cultural representation.,Specific details may vary based on historical interpretation.,2026-05-24T12:00:00Z,2026-05-24T12:00:00Z
